cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,730,,0,717,,0,729,,0,732,,0,726,,0,719,,0,740,,0,713,,0,704,,0,718
1,450,,1,462,,1,450,,1,480,,1,483,,1,425,,1,480,,1,460,,1,491,,1,498
1.5,354,,1.5,350,,1.5,323,,1.5,380,,1.5,309,,1.5,341,,1.5,323,,1.5,340,,1.5,348,,1.5,353
2,285,,2,242,,2,240,,2,280,,2,243,,2,282,,2,260,,2,269,,2,246,,2,272
2.5,210,,2.5,180,,2.5,207,,2.5,200,,2.5,186,,2.5,239,,2.5,200,,2.5,210,,2.5,200,,2.5,213
3,150,,3,136,,3,137,,3,147,,3,150,,3,170,,3,160,,3,170,,3,152,,3,150
3.5,112,,3.5,108,,3.5,116,,3.5,120,,3.5,120,,3.5,127,,3.5,120,,3.5,120,,3.5,113,,3.5,126
4,99,,4,89,,4,100,,4,82,,4,93,,4,100,,4,95,,4,90,,4,100,,4,100
4.5,76,,4.5,73,,4.5,77,,4.5,70,,4.5,75,,4.5,86,,4.5,76,,4.5,80,,4.5,70,,4.5,80
5,65,,5,60,,5,63,,5,64,,5,63,,5,70,,5,67,,5,65,,5,62,,5,70
5.5,56,,5.5,52,,5.5,52,,5.5,49,,5.5,56,,5.5,57,,5.5,58,,5.5,59,,5.5,57,,5.5,60
6,48,,6,48,,6,50,,6,45,,6,50,,6,49,,6,52,,6,53,,6,50,,6,53
6.5,43,,6.5,44,,6.5,46,,6.5,40,,6.5,49,,6.5,45,,6.5,47,,6.5,44,,6.5,45,,6.5,49
7,39,,7,40,,7,42,,7,38,,7,40,,7,40,,7,40,,7,43,,7,40,,7,42
7.5,35,,7.5,38,,7.5,38,,7.5,38,,7.5,38,,7.5,37,,7.5,38,,7.5,39,,7.5,39,,7.5,40
8,33,,8,38,,8,35,,8,35,,8,38,,8,34,,8,38,,8,37,,8,38,,8,37
8.5,32,,8.5,36,,8.5,32,,8.5,34,,8.5,36,,8.5,35,,8.5,34,,8.5,36,,8.5,36,,8.5,35
9,32,,9,35,,9,33,,9,32,,9,32,,9,32,,9,32,,9,33,,9,32,,9,32
9.5,32,,9.5,30,,9.5,32,,9.5,32,,9.5,32,,9.5,32,,9.5,32,,9.5,32,,9.5,32,,9.5,32
10,29,,10,30,,10,31,,10,30,,10,31,,10,30,,10,31,,10,30,,10,31,,10,32
