cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,39.9,,0,21.1,,0,27.5,,0,25,,0,25.5,,0,23.1,,0,29.2,,0,25.8,,0,21.3,,0,23.9
0.5,13.3,,0.5,16.1,,0.5,17.8,,0.5,22.3,,0.5,19.5,,0.5,10.6,,0.5,15.8,,0.5,18.2,,0.5,18.6,,0.5,18.9
1,9.4,,1,10.6,,1,14.3,,1,15,,1,18.6,,1,7.2,,1,12,,1,14.1,,1,12.6,,1,14.1
1.5,6.7,,1.5,6.4,,1.5,10.5,,1.5,11.6,,1.5,13,,1.5,5.3,,1.5,9.9,,1.5,12.2,,1.5,11.6,,1.5,11.8
2,4.9,,2,8.2,,2,7.9,,2,9.4,,2,10,,2,4.5,,2,8,,2,11,,2,8.8,,2,10
2.5,4.7,,2.5,5.9,,2.5,6.4,,2.5,7.2,,2.5,7.8,,2.5,4,,2.5,6.2,,2.5,6.7,,2.5,7.3,,2.5,9.8
3,3.9,,3,4.7,,3,5.7,,3,5.7,,3,5.5,,3,4.1,,3,5.6,,3,5.7,,3,5.8,,3,7.6
3.5,3.3,,3.5,4.2,,3.5,4.7,,3.5,4.4,,3.5,5,,3.5,3.3,,3.5,4.2,,3.5,4.6,,3.5,5,,3.5,5
4,3,,4,3.7,,4,4,,4,3.9,,4,4.1,,4,3.2,,4,3.6,,4,3.9,,4,3.6,,4,4.5
4.5,3.3,,4.5,3.7,,4.5,3.3,,4.5,4,,4.5,3.6,,4.5,3.3,,4.5,3.4,,4.5,3.8,,4.5,3.2,,4.5,3.9
5,3.4,,5,2.9,,5,3.3,,5,3.7,,5,3.2,,5,3,,5,3.4,,5,3.2,,5,2.8,,5,3.2
5.5,3.3,,5.5,2.9,,5.5,3.2,,5.5,2.8,,5.5,2.8,,5.5,2.6,,5.5,2.7,,5.5,3.3,,5.5,2.9,,5.5,3
6,2.7,,6,2.6,,6,3.1,,6,2.9,,6,2.7,,6,2.7,,6,2.8,,6,2.7,,6,2.9,,6,2.6
6.5,2.6,,6.5,2.8,,6.5,2.8,,6.5,2.8,,6.5,3.1,,6.5,2.8,,6.5,2.5,,6.5,2.7,,6.5,3.1,,6.5,2.4
7,2.5,,7,2.5,,7,2.4,,7,2.7,,7,2.3,,7,2.7,,7,2.5,,7,3,,7,2.7,,7,3
7.5,3.1,,7.5,2.4,,7.5,2.8,,7.5,2.8,,7.5,2.5,,7.5,2.5,,7.5,2.4,,7.5,2.8,,7.5,2.5,,7.5,2.7
8,2.7,,8,2.6,,8,2.7,,8,3.1,,8,2.6,,8,2.7,,8,2.8,,8,2.5,,8,2.6,,8,2.7
9,3,,9,2.4,,9,2.8,,9,2.5,,9,2.6,,9,2.9,,9,2.6,,9,2.5,,9,2.5,,9,2.7
10,2.7,,10,2.5,,10,2.5,,10,2.4,,10,2.7,,10,3,,10,2.8,,10,2.8,,10,2.5,,10,2.6
