cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,
1,52,,1,50,,1,79,,1,86,,1,77,,1,63,,1,54,,1,85,,1,75,,1,86
1.5,49,,1.5,37,,1.5,75,,1.5,78,,1.5,72,,1.5,47,,1.5,44,,1.5,76,,1.5,63,,1.5,65
2,45,,2,32,,2,63,,2,62,,2,64,,2,43,,2,39,,2,60,,2,71,,2,60
2.5,44,,2.5,28,,2.5,60,,2.5,53,,2.5,54,,2.5,35,,2.5,35,,2.5,59,,2.5,56,,2.5,63
3,39,,3,33,,3,58,,3,47,,3,51,,3,31,,3,40,,3,55,,3,53,,3,54
3.5,33,,3.5,27,,3.5,52,,3.5,49,,3.5,48,,3.5,33,,3.5,36,,3.5,46,,3.5,53,,3.5,49
4,32,,4,28,,4,46,,4,45,,4,44,,4,31,,4,32,,4,43,,4,48,,4,45
4.5,29,,4.5,22,,4.5,46,,4.5,43,,4.5,40,,4.5,28,,4.5,30,,4.5,43,,4.5,45,,4.5,43
5,27,,5,20,,5,45,,5,39,,5,38,,5,26,,5,30,,5,39,,5,44,,5,40
5.5,25,,5.5,20,,5.5,39,,5.5,36,,5.5,35,,5.5,23,,5.5,23,,5.5,34,,5.5,37,,5.5,36
6,26,,6,19,,6,33,,6,33,,6,36,,6,22,,6,23,,6,32,,6,38,,6,35
6.5,24,,6.5,20,,6.5,32,,6.5,32,,6.5,28,,6.5,20,,6.5,23,,6.5,30,,6.5,33,,6.5,31
7,23,,7,18,,7,28,,7,30,,7,27,,7,20,,7,19,,7,34,,7,31,,7,32
7.5,21,,7.5,13,,7.5,25,,7.5,30,,7.5,27,,7.5,21,,7.5,21,,7.5,33,,7.5,32,,7.5,27
8,17,,8,15,,8,24,,8,28,,8,24,,8,19,,8,19,,8,27,,8,30,,8,25
9,19,,9,14,,9,23,,9,26,,9,20,,9,18,,9,15,,9,25,,9,27,,9,23
10,18,,10,12,,10,20,,10,25,,10,20,,10,13,,10,15,,10,27,,10,27,,10,23
15,17,,15,11,,15,14,,15,15,,15,17,,15,15,,15,11,,15,15,,15,20,,15,19
20,13,,20,13,,20,11,,20,11,,20,11,,20,16,,20,14,,20,13,,20,10,,20,14
25,12,,25,10,,25,13,,25,9,,25,8,,25,16,,25,10,,25,10,,25,8,,25,9
30,15,,30,15,,30,14,,30,9,,30,8,,30,16,,30,9,,30,9,,30,7,,30,10
