cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,
1,67,,1,56,,1,91,,1,65,,1,73,,1,66,,1,67,,1,57,,1,67,,1,60
1.5,52,,1.5,50,,1.5,60,,1.5,49,,1.5,54,,1.5,54,,1.5,60,,1.5,54,,1.5,51,,1.5,51
2,48,,2,46,,2,56,,2,47,,2,47,,2,48,,2,51,,2,50,,2,45,,2,47
2.5,43,,2.5,41,,2.5,49,,2.5,44,,2.5,44,,2.5,43,,2.5,46,,2.5,45,,2.5,42,,2.5,43
3,44,,3,33,,3,45,,3,36,,3,43,,3,41,,3,43,,3,41,,3,41,,3,42
3.5,40,,3.5,35,,3.5,42,,3.5,38,,3.5,39,,3.5,38,,3.5,39,,3.5,39,,3.5,39,,3.5,40
4,38,,4,32,,4,39,,4,36,,4,39,,4,34,,4,37,,4,36,,4,34,,4,35
4.5,36,,4.5,29,,4.5,35,,4.5,35,,4.5,36,,4.5,34,,4.5,35,,4.5,32,,4.5,36,,4.5,29
5,36,,5,28,,5,35,,5,33,,5,34,,5,29,,5,34,,5,29,,5,32,,5,31
5.5,32,,5.5,27,,5.5,33,,5.5,32,,5.5,32,,5.5,27,,5.5,31,,5.5,28,,5.5,27,,5.5,29
6,29,,6,28,,6,31,,6,31,,6,29,,6,25,,6,30,,6,26,,6,24,,6,26
6.5,30,,6.5,26,,6.5,29,,6.5,27,,6.5,28,,6.5,26,,6.5,28,,6.5,26,,6.5,22,,6.5,25
7,26,,7,23,,7,26,,7,27,,7,25,,7,24,,7,25,,7,24,,7,23,,7,25
7.5,29,,7.5,24,,7.5,25,,7.5,27,,7.5,25,,7.5,23,,7.5,24,,7.5,23,,7.5,22,,7.5,24
8,29,,8,22,,8,25,,8,30,,8,24,,8,23,,8,24,,8,22,,8,21,,8,25
9,22,,9,21,,9,24,,9,24,,9,22,,9,21,,9,21,,9,20,,9,20,,9,22
10,20,,10,23,,10,23,,10,23,,10,21,,10,22,,10,21,,10,22,,10,19,,10,21
15,14,,15,18,,15,15,,15,18,,15,15,,15,17,,15,20,,15,14,,15,15,,15,16
20,14,,20,17,,20,13,,20,12,,20,14,,20,16,,20,16,,20,13,,20,14,,20,13
25,15,,25,17,,25,14,,25,11,,25,13,,25,16,,25,16,,25,13,,25,12,,25,11
30,15,,30,15,,30,11,,30,13,,30,11,,30,16,,30,16,,30,11,,30,13,,30,7
