cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,
1,79,,1,69,,1,80,,1,80,,1,72,,1,70,,1,79,,1,87,,1,76,,1,82
1.5,64,,1.5,60,,1.5,63,,1.5,65,,1.5,65,,1.5,58,,1.5,57,,1.5,63,,1.5,63,,1.5,61
2,61,,2,53,,2,57,,2,55,,2,59,,2,51,,2,52,,2,56,,2,55,,2,52
2.5,57,,2.5,47,,2.5,53,,2.5,47,,2.5,51,,2.5,45,,2.5,46,,2.5,53,,2.5,49,,2.5,49
3,55,,3,40,,3,47,,3,46,,3,47,,3,42,,3,44,,3,46,,3,44,,3,46
3.5,50,,3.5,39,,3.5,43,,3.5,42,,3.5,43,,3.5,40,,3.5,38,,3.5,41,,3.5,40,,3.5,44
4,43,,4,39,,4,39,,4,38,,4,42,,4,36,,4,36,,4,39,,4,39,,4,42
4.5,42,,4.5,37,,4.5,36,,4.5,36,,4.5,38,,4.5,35,,4.5,35,,4.5,34,,4.5,36,,4.5,41
5,40,,5,36,,5,36,,5,33,,5,35,,5,34,,5,33,,5,30,,5,34,,5,39
5.5,36,,5.5,36,,5.5,33,,5.5,31,,5.5,32,,5.5,33,,5.5,33,,5.5,29,,5.5,32,,5.5,38
6,36,,6,31,,6,32,,6,31,,6,31,,6,28,,6,31,,6,27,,6,29,,6,35
6.5,30,,6.5,30,,6.5,29,,6.5,30,,6.5,29,,6.5,26,,6.5,29,,6.5,26,,6.5,26,,6.5,34
7,31,,7,31,,7,27,,7,29,,7,31,,7,25,,7,28,,7,25,,7,26,,7,31
7.5,27,,7.5,27,,7.5,25,,7.5,27,,7.5,28,,7.5,24,,7.5,27,,7.5,24,,7.5,25,,7.5,28
8,25,,8,27,,8,25,,8,26,,8,26,,8,23,,8,27,,8,23,,8,22,,8,29
9,30,,9,24,,9,21,,9,27,,9,25,,9,21,,9,24,,9,21,,9,22,,9,26
10,23,,10,23,,10,21,,10,26,,10,24,,10,22,,10,25,,10,20,,10,20,,10,23
15,17,,15,17,,15,15,,15,19,,15,17,,15,15,,15,17,,15,14,,15,16,,15,19
20,15,,20,14,,20,13,,20,16,,20,13,,20,12,,20,15,,20,13,,20,14,,20,14
25,12,,25,12,,25,9,,25,10,,25,12,,25,11,,25,11,,25,10,,25,11,,25,14
30,13,,30,11,,30,10,,30,8,,30,11,,30,9,,30,9,,30,8,,30,10,,30,14
