cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,
1,84,,1,119,,1,80,,1,86,,1,79,,1,108,,1,102,,1,80,,1,87,,1,86
1.5,63,,1.5,88,,1.5,71,,1.5,68,,1.5,60,,1.5,68,,1.5,72,,1.5,66,,1.5,66,,1.5,60
2,59,,2,62,,2,61,,2,61,,2,52,,2,55,,2,65,,2,61,,2,60,,2,53
2.5,53,,2.5,56,,2.5,52,,2.5,52,,2.5,49,,2.5,55,,2.5,58,,2.5,55,,2.5,50,,2.5,46
3,49,,3,50,,3,51,,3,48,,3,47,,3,45,,3,58,,3,50,,3,49,,3,47
3.5,47,,3.5,48,,3.5,48,,3.5,43,,3.5,43,,3.5,44,,3.5,48,,3.5,48,,3.5,45,,3.5,41
4,43,,4,39,,4,46,,4,39,,4,40,,4,39,,4,48,,4,45,,4,39,,4,38
4.5,40,,4.5,39,,4.5,43,,4.5,37,,4.5,37,,4.5,38,,4.5,43,,4.5,42,,4.5,36,,4.5,34
5,38,,5,37,,5,41,,5,32,,5,37,,5,35,,5,41,,5,38,,5,34,,5,34
5.5,35,,5.5,35,,5.5,39,,5.5,32,,5.5,35,,5.5,36,,5.5,40,,5.5,39,,5.5,33,,5.5,31
6,33,,6,32,,6,37,,6,30,,6,31,,6,36,,6,39,,6,35,,6,31,,6,28
6.5,32,,6.5,30,,6.5,34,,6.5,29,,6.5,32,,6.5,32,,6.5,35,,6.5,33,,6.5,28,,6.5,25
7,31,,7,30,,7,37,,7,27,,7,29,,7,29,,7,32,,7,31,,7,28,,7,26
7.5,28,,7.5,25,,7.5,27,,7.5,28,,7.5,30,,7.5,28,,7.5,30,,7.5,28,,7.5,27,,7.5,25
8,27,,8,24,,8,28,,8,26,,8,31,,8,27,,8,29,,8,28,,8,25,,8,25
9,23,,9,24,,9,27,,9,24,,9,29,,9,25,,9,26,,9,23,,9,24,,9,24
10,23,,10,21,,10,23,,10,25,,10,28,,10,22,,10,28,,10,23,,10,21,,10,21
15,17,,15,17,,15,19,,15,20,,15,19,,15,16,,15,20,,15,18,,15,18,,15,16
20,15,,20,13,,20,14,,20,15,,20,16,,20,15,,20,18,,20,15,,20,16,,20,16
25,15,,25,11,,25,11,,25,12,,25,17,,25,9,,25,12,,25,12,,25,15,,25,10
30,13,,30,11,,30,11,,30,12,,30,11,,30,13,,30,14,,30,14,,30,13,,30,9
